day	score
2023-01-22	86
2023-01-23	87
2023-01-25	77
2023-01-27	64
2023-01-29	74
2023-01-30	77
2023-02-01	83
2023-02-02	73
2023-02-03	82
2023-02-04	76
2023-02-05	89
2023-02-06	87
2023-02-09	88
2023-02-10	73
2023-02-13	80
2023-02-14	71
2023-02-15	70
2023-02-16	74
2023-02-18	78
2023-02-21	89
2023-02-23	82
2023-02-24	82
2023-02-25	80
2023-02-26	79
2023-02-27	71
2023-02-28	81
2023-03-01	85
2023-03-02	76
2023-03-05	58
2023-03-06	78
2023-03-07	82
2023-03-08	67
2023-03-10	83
2023-03-11	80
2023-03-12	48
2023-03-13	65
2023-03-14	61
2023-03-16	80
2023-03-18	69
2023-03-20	73
